Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
6226bH*,0.34,0.24,0.42,0.00,0.42,0.00,0.21,0.40,0.37,0.39,0.518477168,b,H,*,Patella,,shell edge
6227bH*,0.31,0.19,0.37,0.00,0.28,0.00,0.12,0.22,0.23,0.26,0.587259048,b,H,*,Patella,,shell edge
6227bH*,0.31,0.18,0.37,0.00,0.28,0.00,0.13,0.23,0.23,0.30,0.585904062,b,H,*,Patella,,shell edge
6228bH*,0.44,0.34,0.40,0.00,0.49,#DIV/0!,0.27,0.36,0.38,0.40,0.169640087,b,H,*,Patella,,shell edge
6228bH*,0.44,0.34,0.37,0.00,0.50,#DIV/0!,0.28,0.35,0.37,0.42,0.172162426,b,H,*,Patella,,shell edge
8053bF,0.77,0.67,0.63,1.20,0.89,0.00,0.63,0.97,0.90,0.86,0.102839194,b,F,,patella ,.Sp,shell
8054bF,0.78,0.68,0.61,1.22,0.89,0.00,0.65,0.98,0.89,0.87,0.104623329,b,F,,patella ,.Sp,shell
8055bF,0.81,0.91,0.36,1.89,0.95,0.00,0.88,1.04,1.06,1.31,0.038217868,b,F,,patella ,.Sp,shell
8056bF,0.81,0.91,0.61,1.90,0.95,0.00,0.94,1.05,1.02,1.03,0.027196208,b,F,,patella ,.Sp,shell
8057bF,0.75,0.63,0.75,1.10,0.87,#DIV/0!,0.57,0.95,0.85,0.79,0.145375333,b,F,,patella ,.Sp,shell
8058bF,0.75,0.62,0.75,1.11,0.86,#DIV/0!,0.55,0.95,0.84,0.74,0.141461323,b,F,,patella ,.Sp,shell
8059bF,0.67,0.73,0.82,1.59,0.83,#DIV/0!,0.52,1.03,0.92,0.84,0.062993781,b,F,,patella ,.Sp,shell
8060bF,0.67,0.75,0.59,1.51,0.82,#DIV/0!,0.51,1.06,0.92,0.84,0.081701485,b,F,,patella ,.Sp,shell
8061bF,0.79,0.92,0.45,1.83,0.98,#DIV/0!,0.86,1.09,1.06,1.08,0.026257661,b,F,,patella ,.Sp,shell
8062bF,0.79,0.92,0.41,1.88,0.96,0.00,0.88,1.02,1.03,0.97,0.022473897,b,F,,patella ,.Sp,shell
8065bF,0.71,0.55,0.76,1.12,0.81,#DIV/0!,0.43,0.88,0.76,0.57,0.18820964,b,F,,patella ,.Sp,shell
8066bF,0.71,0.54,0.95,1.12,0.81,#DIV/0!,0.41,0.84,0.76,0.57,0.162258469,b,F,,patella ,.Sp,shell
8067bF,0.69,0.50,0.84,1.02,0.80,#DIV/0!,0.48,0.78,0.73,0.63,0.204386432,b,F,,patella ,.Sp,shell
8068bF,0.69,0.49,0.87,1.00,0.80,#DIV/0!,0.45,0.84,0.75,0.65,0.195226633,b,F,,patella ,.Sp,shell
8069bF,0.70,0.57,0.77,1.06,0.82,0.00,0.48,0.86,0.79,0.73,0.168858866,b,F,,patella ,.Sp,shell
